Team,Type,Subtype,Period,Start Frame,Start Time [s],End Frame,End Time [s],From,To,Start X,Start Y,End X,End Y,Vision_Score,Defensive_Vulnerability,Defensive_Rating_100
Home,SHOT,OFF TARGET-OUT,1,5923,236.92,5953,238.12,Player10,,0.84,0.27,1.04,0.6,3859.964140836553,False,80.78762757594275
Away,RECOVERY,,1,6685,267.4,6685,267.4,Player25,,0.95,0.45,,,3389.3377241761705,False,70.93759003950093
Away,PASS,GOAL KICK,1,6685,267.4,6779,271.16,Player25,Player18,0.95,0.45,0.53,0.04,,False,
Away,BALL LOST,HEAD,1,6779,271.16,6844,273.76,Player18,,0.53,0.04,0.57,0.31,2455.244605077297,True,51.38736514786354
Home,RECOVERY,,1,6844,273.76,6844,273.76,Player6,,0.54,0.3,,,3389.6486054429065,False,70.94409666989463
Away,CHALLENGE,GROUND-WON,1,6863,274.52,6863,274.52,Player21,,0.53,0.29,,,3389.648161778735,False,70.94408738416696
Away,RECOVERY,INTERCEPTION,1,6863,274.52,6863,274.52,Player21,,0.53,0.29,,,3389.648161778735,False,70.94408738416696
Away,PASS,,1,6863,274.52,6886,275.44,Player21,Player20,0.53,0.29,0.54,0.37,2374.8442777528494,True,49.70461591396427
Home,BALL LOST,INTERCEPTION,1,6864,274.56,6885,275.4,Player6,,0.54,0.3,0.55,0.37,2445.111912502007,True,51.175291624834216
Away,PASS,,1,6905,276.2,6946,277.84,Player20,Player22,0.52,0.41,0.46,0.78,1354.5006993210814,True,28.34920068049905
Away,BALL LOST,CROSS-INTERCEPTION,1,6987,279.48,7043,281.72,Player22,,0.38,0.84,0.08,0.4,,False,
Home,CHALLENGE,GROUND-WON,1,7041,281.64,7041,281.64,Player3,,0.1,0.42,,,3389.4740052657653,False,70.9404423525044
Home,RECOVERY,INTERCEPTION,1,7041,281.64,7041,281.64,Player3,,0.1,0.42,,,3389.4740052657653,False,70.9404423525044
Home,PASS,,1,7041,281.64,7148,285.92,Player3,Player4,0.1,0.42,0.03,0.03,,False,
Away,CHALLENGE,GROUND-LOST,1,7043,281.72,7043,281.72,Player24,,0.1,0.39,,,3389.4949749433663,False,70.940881240132
Home,BALL LOST,,1,7199,287.96,7204,288.16,Player4,,0.1,0.01,0.14,0.02,4037.058955241116,False,84.4941568051614
Away,RECOVERY,,1,7203,288.12,7203,288.12,Player18,,0.13,0.01,,,3389.730257582088,False,70.94580561908958
Away,PASS,,1,7203,288.12,7266,290.64,Player18,Player21,0.13,0.01,0.2,0.11,4281.770306302396,False,89.61587523875802
Away,PASS,,1,7266,290.64,7290,291.6,Player21,Player18,0.2,0.11,0.18,0.04,,False,
Away,PASS,,1,7334,293.36,7387,295.48,Player18,Player15,0.24,0.02,0.38,0.08,4552.9515132711695,False,95.29159800581975
Away,PASS,,1,7404,296.16,7427,297.08,Player15,Player23,0.38,0.08,0.25,0.21,417.3479942435315,True,8.734939781385089
Away,BALL LOST,,1,7465,298.6,7470,298.8,Player23,,0.23,0.26,0.21,0.26,,False,
Home,RECOVERY,,1,7472,298.88,7472,298.88,Player3,,0.2,0.29,,,3389.59140394558,False,70.94289946362687
Home,BALL LOST,,1,7472,298.88,7518,300.72,Player3,,0.2,0.29,0.26,0.26,1887.420408663566,True,39.50301388584907
Away,RECOVERY,,1,7519,300.76,7519,300.76,Player19,,0.26,0.29,,,3389.601613808922,False,70.94311315230563
Away,PASS,,1,7519,300.76,7556,302.24,Player19,Player18,0.26,0.29,0.29,0.07,,False,
Away,PASS,,1,7603,304.12,7632,305.28,Player18,Player19,0.29,0.07,0.3,0.24,2093.2091438461093,True,43.81009630699522
Away,CHALLENGE,TACKLE-LOST,1,7698,307.92,7698,307.92,Player19,,0.24,0.22,,,3389.6412584183345,False,70.94394289937676
Away,BALL LOST,THEFT,1,7698,307.92,7698,307.92,Player19,,0.24,0.22,,,3389.6412584183345,False,70.94394289937676
Home,CHALLENGE,TACKLE-LOST,1,7699,307.96,7699,307.96,Player8,,0.22,0.17,,,3389.661736126632,False,70.94437149026808
Away,RECOVERY,,1,7724,308.96,7724,308.96,Player21,,0.19,0.27,,,3389.605387545572,False,70.94319213522357
Away,SHOT,OFF TARGET-OUT,1,7753,310.12,7789,311.56,Player21,,0.2,0.3,-0.04,0.65,627.5805843098572,True,13.135030448269692
Home,RECOVERY,,1,8482,339.28,8482,339.28,Player11,,0.04,0.52,,,3389.323839815103,False,70.93729944493836
Home,BALL LOST,GOAL KICK-INTERCEPTION,1,8482,339.28,8576,343.04,Player11,,0.04,0.52,0.64,0.38,2478.5197011369883,True,51.87450433456519
Away,CHALLENGE,AERIAL-WON,1,8576,343.04,8576,343.04,Player15,,0.62,0.36,,,3389.631238571147,False,70.94373318766614
Away,RECOVERY,INTERCEPTION,1,8576,343.04,8576,343.04,Player15,,0.62,0.36,,,3389.631238571147,False,70.94373318766614
Away,BALL LOST,HEAD,1,8576,343.04,8580,343.2,Player15,,0.62,0.36,0.63,0.36,3333.4211804956435,True,69.76727737819799
Home,RECOVERY,,1,8581,343.24,8581,343.24,Player10,,0.6,0.37,,,3389.6258053246243,False,70.94361947181785
